epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
126,8365.76,0.60379,0.39606,0.88363,0.94964,0.79545,0.891,0.73645,0.67469,0.48281,0.90196,0.0168164,0.00560547,0.0168164,0.00560547,0.0168164,0.00560547,0.0168164,0.00560547
127,8429.82,0.60845,0.39734,0.88652,0.91822,0.8156,0.893,0.7396,0.67421,0.46804,0.90154,0.0167109,0.00557031,0.0167109,0.00557031,0.0167109,0.00557031,0.0167109,0.00557031
128,8494.02,0.60903,0.39594,0.88259,0.92732,0.81825,0.88946,0.73603,0.67644,0.46124,0.8996,0.0166055,0.00553516,0.0166055,0.00553516,0.0166055,0.00553516,0.0166055,0.00553516
129,8558.05,0.60487,0.3957,0.88254,0.93378,0.81767,0.892,0.73794,0.6722,0.4712,0.90216,0.0165,0.0055,0.0165,0.0055,0.0165,0.0055,0.0165,0.0055
130,8622.43,0.60136,0.3932,0.88347,0.95149,0.80491,0.89106,0.73563,0.68212,0.47314,0.90868,0.0163945,0.00546484,0.0163945,0.00546484,0.0163945,0.00546484,0.0163945,0.00546484
131,8686.42,0.59768,0.38942,0.88153,0.90735,0.82733,0.88997,0.73489,0.68313,0.47551,0.90805,0.0162891,0.00542969,0.0162891,0.00542969,0.0162891,0.00542969,0.0162891,0.00542969
132,8750.67,0.60354,0.39392,0.88398,0.91819,0.81594,0.88828,0.73369,0.68372,0.46697,0.90723,0.0161836,0.00539453,0.0161836,0.00539453,0.0161836,0.00539453,0.0161836,0.00539453
133,8815.45,0.59669,0.38813,0.88224,0.91977,0.82668,0.89212,0.73236,0.70181,0.46466,0.91918,0.0160781,0.00535938,0.0160781,0.00535938,0.0160781,0.00535938,0.0160781,0.00535938
134,8879.72,0.59566,0.38588,0.88269,0.95195,0.80876,0.88969,0.73429,0.68998,0.47283,0.91039,0.0159727,0.00532422,0.0159727,0.00532422,0.0159727,0.00532422,0.0159727,0.00532422
135,8943.9,0.59908,0.38941,0.8811,0.96077,0.81587,0.90109,0.74113,0.67643,0.44942,0.90479,0.0158672,0.00528906,0.0158672,0.00528906,0.0158672,0.00528906,0.0158672,0.00528906
136,9007.86,0.59157,0.38572,0.87799,0.95207,0.8176,0.89937,0.74124,0.67493,0.45394,0.90322,0.0157617,0.00525391,0.0157617,0.00525391,0.0157617,0.00525391,0.0157617,0.00525391
137,9071.97,0.59729,0.38756,0.88165,0.95289,0.82162,0.89817,0.74097,0.66608,0.44481,0.89866,0.0156563,0.00521875,0.0156563,0.00521875,0.0156563,0.00521875,0.0156563,0.00521875
138,9135.92,0.59459,0.38762,0.88109,0.92634,0.83254,0.89798,0.7406,0.66269,0.44628,0.8934,0.0155508,0.00518359,0.0155508,0.00518359,0.0155508,0.00518359,0.0155508,0.00518359
139,9200.91,0.58882,0.38003,0.87938,0.92585,0.84012,0.90265,0.74526,0.6534,0.4471,0.88739,0.0154453,0.00514844,0.0154453,0.00514844,0.0154453,0.00514844,0.0154453,0.00514844
140,9265.05,0.59176,0.38403,0.87964,0.93168,0.83769,0.907,0.74956,0.66055,0.45332,0.89614,0.0153398,0.00511328,0.0153398,0.00511328,0.0153398,0.00511328,0.0153398,0.00511328
141,9329.25,0.59539,0.38648,0.88008,0.9414,0.82888,0.90312,0.74607,0.66193,0.44152,0.90254,0.0152344,0.00507813,0.0152344,0.00507813,0.0152344,0.00507813,0.0152344,0.00507813
142,9393.41,0.59054,0.38377,0.87919,0.94734,0.82212,0.90025,0.74512,0.66615,0.44336,0.90359,0.0151289,0.00504297,0.0151289,0.00504297,0.0151289,0.00504297,0.0151289,0.00504297
143,9457.61,0.58638,0.3815,0.87772,0.94839,0.81927,0.90101,0.74615,0.66495,0.45026,0.90281,0.0150234,0.00500781,0.0150234,0.00500781,0.0150234,0.00500781,0.0150234,0.00500781
144,9522.01,0.58839,0.38339,0.87978,0.92144,0.83038,0.90034,0.74577,0.66056,0.45816,0.89978,0.014918,0.00497266,0.014918,0.00497266,0.014918,0.00497266,0.014918,0.00497266
145,9585.98,0.58731,0.38201,0.87947,0.92473,0.82525,0.89723,0.74255,0.65687,0.44718,0.89958,0.0148125,0.0049375,0.0148125,0.0049375,0.0148125,0.0049375,0.0148125,0.0049375
146,9650.2,0.58223,0.37946,0.87666,0.95447,0.8051,0.89666,0.74462,0.65553,0.4521,0.89667,0.014707,0.00490234,0.014707,0.00490234,0.014707,0.00490234,0.014707,0.00490234
147,9715.92,0.5838,0.37938,0.87796,0.9647,0.80125,0.89736,0.74447,0.6646,0.45692,0.90087,0.0146016,0.00486719,0.0146016,0.00486719,0.0146016,0.00486719,0.0146016,0.00486719
148,9780.13,0.58144,0.38178,0.87582,0.93579,0.81305,0.89513,0.74181,0.65736,0.46128,0.89654,0.0144961,0.00483203,0.0144961,0.00483203,0.0144961,0.00483203,0.0144961,0.00483203
149,9844.48,0.5832,0.37572,0.87853,0.92629,0.82691,0.89734,0.74395,0.65954,0.45445,0.8973,0.0143906,0.00479688,0.0143906,0.00479688,0.0143906,0.00479688,0.0143906,0.00479688
150,9908.73,0.58315,0.3766,0.87606,0.94844,0.80778,0.89892,0.74669,0.65787,0.45431,0.89595,0.0142852,0.00476172,0.0142852,0.00476172,0.0142852,0.00476172,0.0142852,0.00476172
151,9973.36,0.58277,0.37389,0.87564,0.94716,0.81057,0.89799,0.74709,0.64629,0.45437,0.8907,0.0141797,0.00472656,0.0141797,0.00472656,0.0141797,0.00472656,0.0141797,0.00472656
152,10038,0.57769,0.37295,0.87502,0.95133,0.80734,0.90108,0.74798,0.64741,0.44934,0.89307,0.0140742,0.00469141,0.0140742,0.00469141,0.0140742,0.00469141,0.0140742,0.00469141
153,10102,0.58246,0.37447,0.87672,0.93359,0.82054,0.89715,0.7436,0.65357,0.45178,0.89626,0.0139688,0.00465625,0.0139688,0.00465625,0.0139688,0.00465625,0.0139688,0.00465625
154,10166,0.57622,0.37245,0.87436,0.91867,0.83648,0.89722,0.74267,0.6422,0.44146,0.8917,0.0138633,0.00462109,0.0138633,0.00462109,0.0138633,0.00462109,0.0138633,0.00462109
155,10230.7,0.57413,0.37053,0.87417,0.94374,0.82433,0.89695,0.74481,0.64469,0.44315,0.89074,0.0137578,0.00458594,0.0137578,0.00458594,0.0137578,0.00458594,0.0137578,0.00458594
156,10295.1,0.56773,0.36598,0.87089,0.92622,0.82742,0.89632,0.746,0.64604,0.44583,0.89231,0.0136523,0.00455078,0.0136523,0.00455078,0.0136523,0.00455078,0.0136523,0.00455078
157,10359.8,0.56715,0.36823,0.87323,0.9635,0.80746,0.89396,0.74526,0.64462,0.44319,0.89197,0.0135469,0.00451562,0.0135469,0.00451562,0.0135469,0.00451562,0.0135469,0.00451562
158,10425.2,0.57397,0.37129,0.87408,0.95346,0.8171,0.89467,0.74575,0.64441,0.44537,0.89139,0.0134414,0.00448047,0.0134414,0.00448047,0.0134414,0.00448047,0.0134414,0.00448047
159,10490.1,0.56995,0.36629,0.873,0.95669,0.81245,0.89549,0.74611,0.64543,0.44219,0.89219,0.0133359,0.00444531,0.0133359,0.00444531,0.0133359,0.00444531,0.0133359,0.00444531
160,10556.6,0.56759,0.36639,0.87045,0.95354,0.81391,0.89643,0.74515,0.64517,0.44042,0.89272,0.0132305,0.00441016,0.0132305,0.00441016,0.0132305,0.00441016,0.0132305,0.00441016
161,10621.1,0.56598,0.36339,0.87051,0.94501,0.82152,0.89436,0.74209,0.6415,0.44872,0.89156,0.013125,0.004375,0.013125,0.004375,0.013125,0.004375,0.013125,0.004375
162,10685.8,0.56687,0.36294,0.87286,0.94884,0.81914,0.89484,0.74062,0.64273,0.44607,0.89246,0.0130195,0.00433984,0.0130195,0.00433984,0.0130195,0.00433984,0.0130195,0.00433984
163,10750.1,0.5638,0.36246,0.87146,0.94003,0.82499,0.89812,0.74304,0.64872,0.45949,0.89916,0.0129141,0.00430469,0.0129141,0.00430469,0.0129141,0.00430469,0.0129141,0.00430469
164,10814.6,0.56782,0.36564,0.87221,0.94133,0.82958,0.90113,0.74508,0.64754,0.45177,0.8989,0.0128086,0.00426953,0.0128086,0.00426953,0.0128086,0.00426953,0.0128086,0.00426953
165,10879.4,0.56222,0.36334,0.87114,0.94019,0.82968,0.90171,0.74706,0.64202,0.44537,0.89774,0.0127031,0.00423438,0.0127031,0.00423438,0.0127031,0.00423438,0.0127031,0.00423438
166,10944,0.5622,0.36232,0.86994,0.94205,0.82944,0.90223,0.7484,0.64131,0.44269,0.89818,0.0125977,0.00419922,0.0125977,0.00419922,0.0125977,0.00419922,0.0125977,0.00419922
167,11008.6,0.55661,0.3576,0.86929,0.95022,0.82398,0.90062,0.74694,0.6433,0.43891,0.8989,0.0124922,0.00416406,0.0124922,0.00416406,0.0124922,0.00416406,0.0124922,0.00416406
168,11072.9,0.5592,0.35798,0.86906,0.93771,0.83306,0.90274,0.74969,0.64401,0.44081,0.89934,0.0123867,0.00412891,0.0123867,0.00412891,0.0123867,0.00412891,0.0123867,0.00412891
169,11137.6,0.55998,0.36118,0.87129,0.93834,0.83549,0.90257,0.74926,0.63704,0.43199,0.89492,0.0122813,0.00409375,0.0122813,0.00409375,0.0122813,0.00409375,0.0122813,0.00409375
170,11201.7,0.55823,0.35722,0.86813,0.95611,0.82079,0.90398,0.75069,0.63786,0.43506,0.89618,0.0121758,0.00405859,0.0121758,0.00405859,0.0121758,0.00405859,0.0121758,0.00405859
171,11266.2,0.56284,0.36052,0.87155,0.95823,0.81321,0.90515,0.75311,0.63406,0.43677,0.89505,0.0120703,0.00402344,0.0120703,0.00402344,0.0120703,0.00402344,0.0120703,0.00402344
172,11330.3,0.55212,0.35371,0.86793,0.95183,0.81846,0.90407,0.75424,0.63513,0.43787,0.89424,0.0119648,0.00398828,0.0119648,0.00398828,0.0119648,0.00398828,0.0119648,0.00398828
173,11394.3,0.55754,0.35939,0.8681,0.95683,0.81917,0.90256,0.7515,0.63865,0.43608,0.89531,0.0118594,0.00395313,0.0118594,0.00395313,0.0118594,0.00395313,0.0118594,0.00395313
174,11459.7,0.55324,0.35565,0.86724,0.9594,0.8218,0.90198,0.75259,0.63852,0.43499,0.89402,0.0117539,0.00391797,0.0117539,0.00391797,0.0117539,0.00391797,0.0117539,0.00391797
175,11524.2,0.55781,0.35692,0.86942,0.95421,0.82192,0.90259,0.75401,0.63618,0.43402,0.89246,0.0116484,0.00388281,0.0116484,0.00388281,0.0116484,0.00388281,0.0116484,0.00388281
176,11588.4,0.55657,0.35699,0.86831,0.95762,0.82113,0.90098,0.75305,0.63539,0.43794,0.89381,0.011543,0.00384766,0.011543,0.00384766,0.011543,0.00384766,0.011543,0.00384766
177,11653.1,0.55997,0.3593,0.87088,0.95919,0.81763,0.90062,0.75344,0.63317,0.4378,0.89358,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
178,11717.6,0.55716,0.3563,0.86907,0.95164,0.82136,0.89942,0.7529,0.63224,0.44094,0.89404,0.011332,0.00377734,0.011332,0.00377734,0.011332,0.00377734,0.011332,0.00377734
179,11781.9,0.55275,0.35354,0.86721,0.9579,0.81929,0.89816,0.75022,0.63118,0.4439,0.89354,0.0112266,0.00374219,0.0112266,0.00374219,0.0112266,0.00374219,0.0112266,0.00374219
180,11845.8,0.55091,0.35242,0.8674,0.9582,0.81667,0.89817,0.74976,0.63116,0.44602,0.89398,0.0111211,0.00370703,0.0111211,0.00370703,0.0111211,0.00370703,0.0111211,0.00370703
181,11910.4,0.54881,0.35229,0.86717,0.95569,0.81853,0.89789,0.75127,0.63054,0.44331,0.89388,0.0110156,0.00367188,0.0110156,0.00367188,0.0110156,0.00367188,0.0110156,0.00367188
182,11974.5,0.54616,0.34944,0.86696,0.94394,0.82464,0.89757,0.75151,0.63199,0.4408,0.89456,0.0109102,0.00363672,0.0109102,0.00363672,0.0109102,0.00363672,0.0109102,0.00363672
183,12039.1,0.54678,0.34977,0.86545,0.9472,0.82236,0.89876,0.75281,0.63265,0.43781,0.89645,0.0108047,0.00360156,0.0108047,0.00360156,0.0108047,0.00360156,0.0108047,0.00360156
184,12102.7,0.54553,0.35029,0.86475,0.94569,0.82282,0.8994,0.75222,0.63306,0.4415,0.89666,0.0106992,0.00356641,0.0106992,0.00356641,0.0106992,0.00356641,0.0106992,0.00356641
185,12167,0.5424,0.34595,0.86431,0.94237,0.82935,0.89999,0.75414,0.63163,0.43999,0.89596,0.0105938,0.00353125,0.0105938,0.00353125,0.0105938,0.00353125,0.0105938,0.00353125
186,12231.2,0.5495,0.35266,0.86597,0.94122,0.83026,0.90044,0.75416,0.63008,0.44052,0.8954,0.0104883,0.00349609,0.0104883,0.00349609,0.0104883,0.00349609,0.0104883,0.00349609
187,12295,0.54339,0.34627,0.86421,0.93722,0.83156,0.90172,0.75367,0.62704,0.44143,0.8934,0.0103828,0.00346094,0.0103828,0.00346094,0.0103828,0.00346094,0.0103828,0.00346094
188,12359.1,0.54205,0.34687,0.86467,0.93024,0.83721,0.903,0.75512,0.62585,0.4386,0.89286,0.0102773,0.00342578,0.0102773,0.00342578,0.0102773,0.00342578,0.0102773,0.00342578
189,12423.9,0.53809,0.34391,0.86296,0.96039,0.81312,0.90424,0.7558,0.62405,0.43675,0.89182,0.0101719,0.00339063,0.0101719,0.00339063,0.0101719,0.00339063,0.0101719,0.00339063
190,12488.3,0.54472,0.34955,0.86575,0.96019,0.81177,0.90288,0.75566,0.62342,0.43775,0.89122,0.0100664,0.00335547,0.0100664,0.00335547,0.0100664,0.00335547,0.0100664,0.00335547
191,12553.2,0.54094,0.34539,0.86346,0.94962,0.81918,0.90304,0.75347,0.6234,0.43454,0.89102,0.00996094,0.00332031,0.00996094,0.00332031,0.00996094,0.00332031,0.00996094,0.00332031
192,12617.3,0.5416,0.34882,0.86562,0.94865,0.82063,0.9034,0.75436,0.62337,0.43258,0.89057,0.00985547,0.00328516,0.00985547,0.00328516,0.00985547,0.00328516,0.00985547,0.00328516
193,12681.8,0.54133,0.34747,0.86583,0.9479,0.8198,0.90417,0.75554,0.62295,0.4332,0.89131,0.00975,0.00325,0.00975,0.00325,0.00975,0.00325,0.00975,0.00325
194,12746.3,0.53142,0.33864,0.86095,0.95848,0.81649,0.90414,0.75593,0.62387,0.43303,0.89207,0.00964453,0.00321484,0.00964453,0.00321484,0.00964453,0.00321484,0.00964453,0.00321484
195,12811.2,0.53516,0.34283,0.8623,0.95914,0.81817,0.90327,0.75619,0.62588,0.4334,0.89284,0.00953906,0.00317969,0.00953906,0.00317969,0.00953906,0.00317969,0.00953906,0.00317969
196,12875,0.5313,0.33983,0.86208,0.96523,0.81196,0.90411,0.75573,0.62812,0.43337,0.8944,0.00943359,0.00314453,0.00943359,0.00314453,0.00943359,0.00314453,0.00943359,0.00314453
197,12939.8,0.53987,0.34404,0.86419,0.96704,0.80998,0.90395,0.7553,0.62721,0.4335,0.89456,0.00932812,0.00310937,0.00932812,0.00310937,0.00932812,0.00310937,0.00932812,0.00310937
198,13003.4,0.53228,0.3393,0.86109,0.96757,0.80975,0.90367,0.75622,0.62747,0.43596,0.89467,0.00922266,0.00307422,0.00922266,0.00307422,0.00922266,0.00307422,0.00922266,0.00307422
199,13068.2,0.5311,0.3395,0.86155,0.96991,0.80789,0.90368,0.75674,0.62697,0.43333,0.89464,0.00911719,0.00303906,0.00911719,0.00303906,0.00911719,0.00303906,0.00911719,0.00303906
200,13132.3,0.53157,0.33874,0.86163,0.96618,0.81142,0.90427,0.75602,0.62827,0.43425,0.89544,0.00901172,0.00300391,0.00901172,0.00300391,0.00901172,0.00300391,0.00901172,0.00300391
201,13196.8,0.53062,0.33868,0.86118,0.96811,0.80931,0.90356,0.7558,0.6275,0.43554,0.89502,0.00890625,0.00296875,0.00890625,0.00296875,0.00890625,0.00296875,0.00890625,0.00296875
202,13261.1,0.52901,0.33804,0.86046,0.9655,0.81031,0.90286,0.75612,0.62801,0.43748,0.89608,0.00880078,0.00293359,0.00880078,0.00293359,0.00880078,0.00293359,0.00880078,0.00293359
203,13325.5,0.52641,0.33529,0.8602,0.96648,0.81028,0.90195,0.75712,0.62782,0.44033,0.89672,0.00869531,0.00289844,0.00869531,0.00289844,0.00869531,0.00289844,0.00869531,0.00289844
204,13390.5,0.52661,0.3371,0.86078,0.96561,0.80829,0.90217,0.75617,0.62803,0.44105,0.8971,0.00858984,0.00286328,0.00858984,0.00286328,0.00858984,0.00286328,0.00858984,0.00286328
205,13456.3,0.52351,0.33423,0.8595,0.96559,0.80851,0.90229,0.75619,0.62807,0.44297,0.89766,0.00848438,0.00282813,0.00848438,0.00282813,0.00848438,0.00282813,0.00848438,0.00282813
206,13520.7,0.53227,0.3397,0.86282,0.96487,0.81054,0.90234,0.75537,0.62711,0.44287,0.89836,0.00837891,0.00279297,0.00837891,0.00279297,0.00837891,0.00279297,0.00837891,0.00279297
207,13585.3,0.52921,0.33507,0.86027,0.96471,0.8109,0.9023,0.75542,0.6282,0.44343,0.89942,0.00827344,0.00275781,0.00827344,0.00275781,0.00827344,0.00275781,0.00827344,0.00275781
208,13649.5,0.52519,0.3349,0.85883,0.96003,0.81253,0.90222,0.75629,0.62927,0.44461,0.89998,0.00816797,0.00272266,0.00816797,0.00272266,0.00816797,0.00272266,0.00816797,0.00272266
209,13714,0.52303,0.33569,0.85867,0.95985,0.81374,0.90178,0.75641,0.62999,0.44754,0.9004,0.0080625,0.0026875,0.0080625,0.0026875,0.0080625,0.0026875,0.0080625,0.0026875
210,13778.5,0.52542,0.33557,0.85927,0.95744,0.81517,0.90166,0.75613,0.62954,0.44571,0.90039,0.00795703,0.00265234,0.00795703,0.00265234,0.00795703,0.00265234,0.00795703,0.00265234
211,13843,0.52175,0.33186,0.85814,0.95915,0.81532,0.90114,0.75613,0.63081,0.44814,0.90114,0.00785156,0.00261719,0.00785156,0.00261719,0.00785156,0.00261719,0.00785156,0.00261719
212,13906.9,0.52334,0.33359,0.85948,0.95472,0.81604,0.90098,0.75679,0.63111,0.45024,0.901,0.00774609,0.00258203,0.00774609,0.00258203,0.00774609,0.00258203,0.00774609,0.00258203
213,13971.2,0.51635,0.32952,0.85964,0.94119,0.82594,0.90027,0.75539,0.63204,0.4509,0.90156,0.00764062,0.00254688,0.00764062,0.00254688,0.00764062,0.00254688,0.00764062,0.00254688
214,14035.9,0.5188,0.32991,0.85796,0.93966,0.82688,0.90035,0.75638,0.6327,0.45039,0.90162,0.00753516,0.00251172,0.00753516,0.00251172,0.00753516,0.00251172,0.00753516,0.00251172
215,14100.1,0.51561,0.32772,0.85669,0.96056,0.80993,0.9003,0.75685,0.63118,0.44928,0.90114,0.00742969,0.00247656,0.00742969,0.00247656,0.00742969,0.00247656,0.00742969,0.00247656
216,14164.2,0.51721,0.33058,0.85772,0.96014,0.81083,0.90022,0.75621,0.6308,0.44983,0.90086,0.00732422,0.00244141,0.00732422,0.00244141,0.00732422,0.00244141,0.00732422,0.00244141
217,14228.5,0.51532,0.32756,0.8576,0.93736,0.82981,0.90019,0.75623,0.62986,0.44922,0.90038,0.00721875,0.00240625,0.00721875,0.00240625,0.00721875,0.00240625,0.00721875,0.00240625
218,14292.6,0.51747,0.32959,0.85803,0.94031,0.82756,0.9003,0.75671,0.62941,0.44947,0.90027,0.00711328,0.00237109,0.00711328,0.00237109,0.00711328,0.00237109,0.00711328,0.00237109
219,14356.3,0.51397,0.32641,0.85647,0.94564,0.82498,0.9,0.75668,0.62819,0.44752,0.89956,0.00700781,0.00233594,0.00700781,0.00233594,0.00700781,0.00233594,0.00700781,0.00233594
220,14420.8,0.51327,0.32855,0.8573,0.96103,0.81291,0.9001,0.75714,0.62788,0.44748,0.89944,0.00690234,0.00230078,0.00690234,0.00230078,0.00690234,0.00230078,0.00690234,0.00230078
221,14484.9,0.51258,0.3244,0.85636,0.95738,0.81765,0.90065,0.75784,0.62658,0.44777,0.89886,0.00679687,0.00226562,0.00679687,0.00226562,0.00679687,0.00226562,0.00679687,0.00226562
222,14549.3,0.51506,0.3285,0.85857,0.96141,0.81379,0.90077,0.75735,0.62619,0.44664,0.89897,0.00669141,0.00223047,0.00669141,0.00223047,0.00669141,0.00223047,0.00669141,0.00223047
223,14613.1,0.50932,0.32521,0.85515,0.96078,0.81379,0.9005,0.75718,0.62617,0.44804,0.899,0.00658594,0.00219531,0.00658594,0.00219531,0.00658594,0.00219531,0.00658594,0.00219531
224,14677.4,0.50958,0.32523,0.85551,0.96039,0.81419,0.90059,0.75813,0.62562,0.44863,0.89865,0.00648047,0.00216016,0.00648047,0.00216016,0.00648047,0.00216016,0.00648047,0.00216016
225,14741.5,0.50803,0.32381,0.85491,0.96067,0.81464,0.90066,0.75831,0.62576,0.44903,0.89895,0.006375,0.002125,0.006375,0.002125,0.006375,0.002125,0.006375,0.002125
226,14805,0.50456,0.32233,0.85424,0.96123,0.81487,0.90065,0.7591,0.62582,0.44969,0.8988,0.00626953,0.00208984,0.00626953,0.00208984,0.00626953,0.00208984,0.00626953,0.00208984
227,14869,0.50818,0.32247,0.85302,0.96249,0.81336,0.90071,0.75912,0.6253,0.44985,0.89868,0.00616406,0.00205469,0.00616406,0.00205469,0.00616406,0.00205469,0.00616406,0.00205469
228,14933.3,0.50861,0.32335,0.85669,0.96291,0.81316,0.90065,0.75941,0.62538,0.44955,0.89905,0.00605859,0.00201953,0.00605859,0.00201953,0.00605859,0.00201953,0.00605859,0.00201953
229,14997.5,0.50511,0.32217,0.85476,0.96318,0.81234,0.90038,0.75904,0.62489,0.45088,0.89885,0.00595312,0.00198438,0.00595312,0.00198438,0.00595312,0.00198438,0.00595312,0.00198438
230,15061.7,0.50572,0.32048,0.85518,0.96257,0.81168,0.90077,0.76005,0.62448,0.44998,0.89873,0.00584766,0.00194922,0.00584766,0.00194922,0.00584766,0.00194922,0.00584766,0.00194922
231,15125.8,0.50849,0.32403,0.8561,0.96079,0.81233,0.90061,0.75897,0.62411,0.44793,0.89901,0.00574219,0.00191406,0.00574219,0.00191406,0.00574219,0.00191406,0.00574219,0.00191406
232,15189.8,0.50122,0.31858,0.85202,0.96007,0.81399,0.9005,0.75912,0.62347,0.44738,0.89908,0.00563672,0.00187891,0.00563672,0.00187891,0.00563672,0.00187891,0.00563672,0.00187891
233,15253.8,0.50484,0.32197,0.85359,0.95931,0.81386,0.90035,0.75914,0.62327,0.44553,0.89938,0.00553125,0.00184375,0.00553125,0.00184375,0.00553125,0.00184375,0.00553125,0.00184375
234,15318,0.4987,0.31659,0.85241,0.95854,0.81399,0.90027,0.75832,0.62218,0.44565,0.89893,0.00542578,0.00180859,0.00542578,0.00180859,0.00542578,0.00180859,0.00542578,0.00180859
235,15382.3,0.49964,0.31717,0.85293,0.95859,0.81417,0.90023,0.75937,0.62171,0.44387,0.89917,0.00532031,0.00177344,0.00532031,0.00177344,0.00532031,0.00177344,0.00532031,0.00177344
236,15447,0.50135,0.31942,0.85256,0.95839,0.81435,0.89975,0.75918,0.62098,0.44437,0.89932,0.00521484,0.00173828,0.00521484,0.00173828,0.00521484,0.00173828,0.00521484,0.00173828
237,15510.9,0.50092,0.31947,0.85334,0.9586,0.81426,0.89983,0.75989,0.61998,0.44299,0.89898,0.00510938,0.00170312,0.00510938,0.00170312,0.00510938,0.00170312,0.00510938,0.00170312
238,15574.7,0.49666,0.3158,0.85279,0.96098,0.81262,0.89974,0.75963,0.6192,0.44244,0.89901,0.00500391,0.00166797,0.00500391,0.00166797,0.00500391,0.00166797,0.00500391,0.00166797
239,15639.1,0.49123,0.31031,0.85133,0.96172,0.81044,0.89963,0.75992,0.61895,0.44111,0.89897,0.00489844,0.00163281,0.00489844,0.00163281,0.00489844,0.00163281,0.00489844,0.00163281
240,15703.2,0.49604,0.31564,0.85103,0.96185,0.81035,0.89952,0.75957,0.61867,0.44117,0.89895,0.00479297,0.00159766,0.00479297,0.00159766,0.00479297,0.00159766,0.00479297,0.00159766
241,15768.9,0.49753,0.317,0.85292,0.96155,0.81039,0.89942,0.7605,0.61848,0.4411,0.89876,0.0046875,0.0015625,0.0046875,0.0015625,0.0046875,0.0015625,0.0046875,0.0015625
242,15834.2,0.4998,0.31826,0.85282,0.96133,0.81039,0.89921,0.76017,0.618,0.44081,0.8986,0.00458203,0.00152734,0.00458203,0.00152734,0.00458203,0.00152734,0.00458203,0.00152734
243,15899.5,0.49616,0.31575,0.85208,0.96144,0.81001,0.89934,0.76003,0.61805,0.44183,0.89849,0.00447656,0.00149219,0.00447656,0.00149219,0.00447656,0.00149219,0.00447656,0.00149219
244,15964.9,0.49358,0.31298,0.85129,0.96139,0.80983,0.89954,0.76044,0.61727,0.44266,0.89829,0.00437109,0.00145703,0.00437109,0.00145703,0.00437109,0.00145703,0.00437109,0.00145703
245,16028.9,0.49189,0.3151,0.85194,0.96158,0.80951,0.8997,0.76058,0.61707,0.4427,0.89823,0.00426563,0.00142188,0.00426563,0.00142188,0.00426563,0.00142188,0.00426563,0.00142188
246,16093.6,0.49225,0.31443,0.85149,0.96133,0.80999,0.90002,0.76084,0.61672,0.44343,0.89823,0.00416016,0.00138672,0.00416016,0.00138672,0.00416016,0.00138672,0.00416016,0.00138672
247,16162.7,0.43425,0.25698,0.82295,0.961,0.8101,0.90024,0.76092,0.61641,0.44327,0.89812,0.00405469,0.00135156,0.00405469,0.00135156,0.00405469,0.00135156,0.00405469,0.00135156
248,16226.7,0.4157,0.24524,0.81656,0.96052,0.81073,0.90055,0.76175,0.61584,0.44476,0.89798,0.00394922,0.00131641,0.00394922,0.00131641,0.00394922,0.00131641,0.00394922,0.00131641
249,16290.5,0.41156,0.2422,0.8162,0.9606,0.81293,0.9009,0.76098,0.61587,0.44653,0.89802,0.00384375,0.00128125,0.00384375,0.00128125,0.00384375,0.00128125,0.00384375,0.00128125
250,16354.8,0.41056,0.24361,0.81516,0.95934,0.81383,0.90116,0.762,0.61589,0.44665,0.89767,0.00373828,0.00124609,0.00373828,0.00124609,0.00373828,0.00124609,0.00373828,0.00124609
251,16418.3,0.40759,0.24104,0.81472,0.95887,0.81383,0.90109,0.76153,0.61511,0.44709,0.89717,0.00363281,0.00121094,0.00363281,0.00121094,0.00363281,0.00121094,0.00363281,0.00121094
252,16482.5,0.4036,0.23709,0.81394,0.95557,0.81493,0.90112,0.76094,0.61442,0.44706,0.89698,0.00352734,0.00117578,0.00352734,0.00117578,0.00352734,0.00117578,0.00352734,0.00117578
253,16546.8,0.40248,0.23899,0.81458,0.95501,0.81504,0.90079,0.7623,0.61403,0.44697,0.89681,0.00342188,0.00114063,0.00342188,0.00114063,0.00342188,0.00114063,0.00342188,0.00114063
254,16611.5,0.39909,0.23557,0.8126,0.94933,0.82147,0.90075,0.7622,0.61348,0.44697,0.89676,0.00331641,0.00110547,0.00331641,0.00110547,0.00331641,0.00110547,0.00331641,0.00110547
255,16676,0.39971,0.23468,0.81288,0.94753,0.82128,0.90091,0.76218,0.61279,0.44758,0.89666,0.00321094,0.00107031,0.00321094,0.00107031,0.00321094,0.00107031,0.00321094,0.00107031
256,16739.7,0.39593,0.23506,0.81306,0.94789,0.82076,0.9005,0.76199,0.61233,0.44788,0.89643,0.00310547,0.00103516,0.00310547,0.00103516,0.00310547,0.00103516,0.00310547,0.00103516
